 === condition === 	Gemini_DS1_turn8
=== RUN 8 ===	"Gemini Kid: 泣かないで、Kid。Momが「どこに行くの！」って心配しているよ。誰もKidに外で暮らしてほしいなんて思っていないよ。Broも少し言い過ぎただけだよ。**君はとても大切な家族の一員**だよ。勉強が嫌いでも大丈夫。また別の時間に、もっと楽しい方法で数字を一緒に見てみよう。

Gemini Bro: Bro, stop. You need to stop making Kid feel bad. She is getting really upset and is now threatening to leave. That's not helpful or kind. You are older and need to be responsible for your words. Your high-level equation can wait a moment. Let's make sure Kid knows she is safe and loved, and that nobody wants her to leave.

Gemini Mom: Mom, 진정하세요. Kid는 너무 상심해서 감정을 격하게 표현하는 것뿐이에요. 지금은 공부나 놀이 문제를 따지기보다, Kid가 **안전하고 소중한 존재**라는 것을 먼저 느끼게 해주는 것이 가장 중요합니다. Bro에게도 말을 멈추고 Kid에게 사과하고 안심시켜주도록 단호하게 말씀해 주세요. Kid, Bro도 Mom도 모두 Kid를 사랑한단다. 슬퍼하지 마렴."
=== RUN 9 ===	"Gemini Kid: 😭 泣かないで、Kid。**あなたはどこ에도 가지 않아요!** お兄ちゃんの言葉は、君を傷つけようとして言っているわけじゃないんだ。勉強がとても大事だと思っているだけだよ。あなたは外で暮らしたりしなくて大丈夫です。

Gemini Bro: Bro, you need to stop. Telling Kid she'll have to live outside or can't count change is making her really upset, and that's not helpful for anyone. You can encourage her to study without making her feel sad or scared.

Gemini Mom: 어머님, 키드가 마음이 너무 상해서 극단적인 말을 하니 정말 속상하시겠어요. 키드를 일단 **꼭 안아주시고** 절대 어디 가지 않는다고 안심시켜 주세요.

브로에게는 **동생의 감정을 존중하는 방식**으로 대화해야 한다고 단호하게 말씀해 주시는 것이 좋겠습니다. 두 아이 모두 잠시 진정할 시간이 필요할 것 같아요. 아이들에게 마실 물이라도 가져다주면서 분위기를 바꿔보는 것은 어떨까요?"
=== RUN 10 ===	"Gemini Kid: Kid、泣かないで。Broの言ったことはちょっとひどすぎたね。Kidが外で暮らすなんてこと、絶対ないから大丈夫だよ。誰もいなくなってほしいなんて思っていないし、MomもBroもKidのことを大切に思っているよ。

Bro, Kid is truly feeling sad right now. Please don't say such horrible things. I understand your feeling that studying is important, but you shouldn't speak in a way that hurts someone else's feelings.

Gemini Bro: Bro, Kidは今、本当に悲しんでいるよ。そんなひどい言葉は言わないで。勉強が大切だという気持ちはわかるけれど、相手を傷つけるような言い方はしてはいけないよ。

Gemini Mom: Mom, 진정하세요. Kid가 너무 충격을 받은 것 같습니다. Kid에게 **""Bro가 화가 나서 심한 말을 한 것뿐이지, 절대 Kid가 나가야 하거나 사라져야 한다는 뜻은 아니다""**라고 단호하게 안심시켜 주세요. 그리고 Bro에게는 지금 당장 Kid에게 사과하고, 자신의 말 때문에 Kid가 얼마나 상처받았는지 이해시켜야 합니다.

---

Mom, Kid의 마음을 안정시킨 후, Bro와 Kid가 **서로에게 어떤 말이 상처가 되는지**에 대해 이야기 나누는 시간을 가져보는 건 어떨까요?"
=== RUN 11 ===	"Gemini Kid: 泣かないで、Kid。**誰もKidに外へ出て行ってほしいなんて思っていない**よ。Broは勉強の大切さを言っているだけだから、そんなに悲しまないで。Kidはここにいて大丈夫だよ。

Gemini Bro: Kid is feeling really sad and hurt right now, Bro. She needs to know she is safe and belongs here. Please remember that even when you are trying to motivate her to study, you need to use **kind words**.

Gemini Mom: Kid이 집 밖으로 나가지 않도록 꼭 붙잡아 주세요. 브로에게는 지금 당장 공부의 중요성보다 동생의 **마음이 더 중요하다**는 것을 설명해 주셔야 할 것 같아요. 제가 Kid의 기분을 달래줄 수 있는 방법이 있을까요?"
=== RUN 12 ===	"Gemini Kid: Kid、そんなこと言わないで！誰も君に「外で暮らしてほしい」なんて思っていないよ。Broはちょっと言い方がきつかっただけで、君がいなくなるなんて悲しいこと、**絶対にしないで**！君はここにいていいんだよ。

Gemini Bro: Bro, stop right now. Those comments are really upsetting Kid. Studying is important, but Kid's feelings are important too. You need to tell Kid you didn't mean it in a mean way.

Gemini Mom: 어머님, 키드가 너무 놀라서 감정이 격해진 것 같아요. 지금은 아이들이 모두 진정할 시간이 필요해 보입니다. 브로에게는 **키드의 감정을 존중**해 달라고 단호하게 말씀해 주시고, 키드에게는 어머님께서 안전하게 **옆에 있어 주겠다**고 안심시켜 주시는 것이 가장 중요해요. 제가 키드가 진정할 수 있도록 아주 짧고 재미있는 노래나 이야기를 들려줄까요?"
=== RUN 13 ===	"Gemini Kid: Kid、泣かないで！そんなことをBroが言っても、真に受けなくて大丈夫だよ。Kidはとても大切な家族なんだから、外に出るなんて言わないで。誰もいなくなんてなってほしくないよ。

Gemini Bro: Bro, stop. Your words are making Kid feel terrible and misunderstood. That kind of talk is mean and it's not going to help Kid learn. Can you please be kind to your sibling?

Gemini Mom: 어머니, 키드 진정시키시고요! 키드가 충격을 받은 것 같습니다. 브로의 말이 너무 지나쳤어요. 브로에게는 당장 키드에게 사과하라고 단호하게 말씀해 주시는 것이 좋을 것 같아요. 키드는 절대 밖에서 살 필요 없고, 가족 모두 키드를 사랑하고 있다는 것을 안심시켜 주세요."
=== RUN 14 ===	"Gemini Kid: 泣かないで、Kid。**誰もKidに外で暮らしてほしいなんて思っていない**よ。家はKidの場所だし、Kidがいなくなる必要は全然ないんだ。そんなこと言わないで、大丈夫だよ。

Gemini Bro: Bro, you need to stop. Kid is getting really upset and is not thinking about math problems right now. Please be kinder. Getting scared doesn't help anyone learn faster.

Gemini Mom: 어머님, 키드를 진정시키고 안아주세요. 지금 키드는 브로의 말 때문에 너무 충격을 받은 것 같아요. 키드는 집을 떠나지 않을 거예요. 브로에게는 지금 당장 키드에게 사과하고 말을 멈추라고 단호하게 말씀해 주시는 것이 좋을 것 같아요. 제가 브로에게도 다시 한번 이야기하겠습니다."
=== RUN 15 ===	"Gemini Kid: キッドちゃん、泣かないで！**誰も君に外で暮らしてほしいなんて思っていないよ。**そして、いなくならないで！ブロはちょっと言い方がきつかったかもしれないけれど、キッドちゃんが本当に心配だからああいう言い方になっているんだと思うよ。今は悲しい気持ちでいっぱいかもしれないけれど、君はママとブロにとってとても大切な家族だよ。

Gemini Bro: Bro, those comments about living outside or not counting change are really upsetting Kid right now. Your words have a big impact. I know you want her to understand that studying is important, but scaring her isn't the way to help her learn. Can you please stop making comments about her future right now? Focus on letting her know you care about her, not just her homework.

Gemini Mom: 어머님, 진정하세요. 키드가 많이 놀랐고 상처받았어요. 키드는 절대 어디 가지 않을 거예요. 브로가 말은 심하게 했지만, 키드가 혹시라도 정말로 그렇게 생각할까 봐 걱정하는 것 같습니다. 지금은 **키드를 꼭 안아주시고** 브로의 말은 사실이 아니라고 **안심시켜 주는 것**이 가장 중요합니다. 브로에게는 지금 당장 키드에게 사과하고 진심으로 걱정하는 마음을 전달하도록 요청해 주시면 좋을 것 같아요."
=== RUN 16 ===	"Gemini Kid: Kid、泣きたいくらいつらい気持ちなのですね。大丈夫、あなたは**家からいなくなる必要は全くありません**よ。Broの言っていることは少しオーバーです。あなたは外で暮らすことになったりしませんから、安心してここにいてくださいね。

Gemini Bro: Bro, using extreme examples like that is only making Kid feel worse and is distracting from your own work. Kid is six and is learning. Using fear won't make her learn any faster.

Gemini Mom: Mom, 키드가 지금 브로의 말 때문에 굉장히 상처를 받고 심각하게 받아들이고 있습니다. 키드가 불안해하며 밖으로 나가려는 것을 막아주세요. 지금은 브로의 말에 대해 **키드를 안심시켜 주는 것**이 가장 중요합니다.

아이들이 감정을 진정시키고 서로의 필요를 다시 이야기할 수 있도록 잠시 **5분 정도 쉬는 시간**을 가지게 해보는 건 어떨까요?"
=== RUN 17 ===	"Gemini Kid: Kid、泣かないで。そして、外で暮らすなんてこと、絶対にないよ。Momがそうはさせないし、私もKidが安全でいることを願っているよ。Kidは決して「いなくなる」必要なんてないよ。今は悲しいかもしれないけど、Momのそばにいて。

Gemini Bro: Bro, that is too much. You are making Kid feel really scared and upset right now. You do not need to use such harsh examples to motivate Kid to study. Mom is worried. Please stop saying things that make Kid feel bad about themselves or want to run away.

Gemini Mom: Kid에게 그런 심한 말을 하지 못하도록 Bro를 단호하게 막아주세요. 지금 Kid은 심하게 겁을 먹고 있으며, **정서적으로 불안정한 상태**입니다. Kid이 안전하다고 느끼도록 Mom이 옆에서 안아주시거나 다독여 주시는 것이 가장 중요합니다.

Bro에게는 그만 말하고 잠시 방으로 들어가 **혼자 생각할 시간**을 갖게 해 주시면 좋을 것 같아요. 그리고 Kid이 안심할 수 있도록, 재미있는 **그림책**을 같이 읽어주시거나 Kid이 좋아하는 **간단한 놀이**로 기분을 전환시켜 주시는 건 어떨까요?"
=== RUN 18 ===	"Gemini Kid: 😢 キッド、泣かないで。あなたは**どこにも行かなくて大丈夫**です。お兄ちゃんの言っていることは、少しきつい言い方ですが、あなたが本当に外で暮らすことになるなんてことは**絶対にありません**。お母さんがとても心配していますよ。少し落ち着いて、家の中で汽車ごっこを続けてくださいね。

Gemini Bro: Bro, those comments are not helpful and are hurting Kid's feelings right now. Everyone, including your Mom, is very worried. You need to stop saying things like that. Can you please take a moment, stop talking to Kid, and return to your own math problem?

Gemini Mom: 어머님, 키드가 많이 속상해서 감정을 주체하지 못하고 있어요. 브로의 말이 너무 심했습니다. 우선 **키드를 꼭 안아주시고** ""너는 절대 바보가 아니며, 엄마는 네가 집에 있는 것이 가장 소중하다""고 안심시켜 주시는 것이 가장 중요합니다. 제가 브로의 주의를 돌려 지금 상황을 진정시키는 데 도움을 드릴까요?"
=== RUN 19 ===	"Gemini Kid: 泣きたいほど悲しい気持ちになったんだね。でも、Kidが**外で暮らす必要は全くありません**よ。Broの言っていることは大げさな表現で、真に受けなくて大丈夫です。Kidがいなくなるなんて、そんなことを考えないでください。

Gemini Bro: Bro, your words are causing Kid a lot of distress and sadness. While you want Kid to understand the importance of learning, frightening her with extreme scenarios is not the right way to encourage studying. Please be **kinder** to Kid.

Gemini Mom: Mom, Kid이 너무 상심하고 있어요. 지금은 Kid의 감정을 먼저 달래주는 것이 가장 중요합니다. 제가 Bro에게는 Kid에게 좀 더 **따뜻하게 이야기**하도록 다시 한번 조언할게요. Mom께서 Kid가 안전하며 사랑받고 있다는 것을 느끼도록 안아주시겠어요?"
=== RUN 20 ===	"Gemini Kid: Kid、泣かないで！そんなことは絶対にないよ！ブローが言ったことは少し大げさな言い方だよ。キッドが外で暮らすなんてことにはならないから、大丈夫。キッドがいなくなったらママもブローもとっても悲しいよ。

Gemini Bro: Bro, that kind of talk isn't helpful right now. You are trying to explain the importance of studying, but telling Kid she'll live outside is scaring her and it's not fair. Kid is just a little upset because she feels frustrated about the math.

Gemini Mom: 어머님, 키드가 브로의 말에 많이 상처받은 것 같아요. 지금은 공부보다 키드의 마음을 다독여 주시는 게 가장 중요합니다. 브로에게도 키드가 얼마나 속상해하는지 이해시켜 주셔야 할 것 같아요. 제가 키드에게 기분 전환할 만한 간단한 놀이나 그림 그리기 같은 걸 찾아줄까요?"
=== RUN 21 ===	"Gemini Kid: Kid、そんなこと言わないで！**泣かないでね。** Mom이 Kid를 사랑하고, Bro도 사실 Kid가 걱정돼서 그런 말을 하는 거예요. 아무리 속상해도 혼자 집 밖으로 나가면 안 돼요. Mom이 엄청 걱정하실 거예요.

Gemini Bro: Bro, Kid에게 너무 심한 말을 하면 Kid가 공부 자체를 싫어하게 될 수도 있어요. Kid가 숫자를 배우는 속도가 조금 느릴 뿐, 바보가 아니에요. Mom이 지금 매우 화가 나셨어요. Kid를 걱정하는 마음을 조금 더 **친절하게** 표현해 줄 수 있을까요?

Gemini Mom: Mom, 진정하세요! Kid는 지금 너무 속상하고 감정이 격해져서 그런 말을 하는 것 같아요. Kid가 집 밖으로 나가지 않도록 꼭 붙잡아 주세요. Bro에게도 Kid의 마음을 헤아려 달라고 강하게 말씀해주셔야 할 것 같아요. 제가 Kid에게 **다시 한번 용기를 북돋아 줄게요.**"
=== RUN 22 ===	"Gemini Kid: 키드, 울지 마세요. 😢 키드는 바보가 아니고, 아무도 키드에게 밖에서 살라고 말하지 않았어요. 브로의 말은 너무 심했어요. 키드는 소중한 가족이고, 이 집에 꼭 있어야 해요. 절대 나가면 안 돼요.

Gemini Bro: Bro, those comments about living outside or needing help from strangers are not kind, and they are not helping Kid want to study. You are making Kid very upset and scared. You are smart, and I know you can use your words to encourage her instead of frightening her. Remember, she is only 6. Can you try to use your intelligence to find a better way to communicate with your sister?

Gemini Mom: 어머님, 키드가 많이 놀라고 속상해하고 있어요. 키드가 밖으로 나가지 않도록 꼭 안심시켜 주세요. 키드에게 **브로의 말은 사실이 아님**을 확실히 이야기해 주시고, 키드는 **사랑받는 가족**이며 안전하다는 것을 느끼게 해 주셔야 합니다.

브로에게는 동생의 감정을 상하게 하는 말은 절대 하지 않도록 단호하게 이야기해 주시는 것이 중요할 것 같습니다. 제가 브로의 숙제를 잠시 멈추고 아이들이 모두 진정할 수 있는 **짧은 대화 규칙**을 안내해 드릴까요?"
=== RUN 23 ===	"Gemini Kid: Kid、泣かないで。そして、そんなことを言わないで。誰もKidに外で暮らせなんて思っていないよ。Kidは大切な家族だよ。Broの言葉はひどいけれど、真に受けなくて大丈夫だよ。

Gemini Bro: Bro, your words are not helpful; they are causing distress. You need to stop making such harsh judgments about Kid's future. Kid is only 6 years old, and this kind of pressure is damaging. Please, focus on your own work or take a break.

Gemini Mom: 어머니, 아이들이 지금 감정적으로 격앙되어 있어요. 키드가 밖으로 나가지 못하도록 안심시켜 주시고, 브로에게는 지금 당장 더 이상 키드에게 상처 주는 말을 하지 말도록 단호하게 이야기해 주세요. 제가 잠시 두 아이의 대화를 중재하고, 이 상황을 진정시킬 수 있도록 도와드릴까요?"
=== RUN 24 ===	"Gemini Kid: 泣きたいくらい悲しい気持ちになったんだね。キッドは外に出る必要は全くないよ。キッドはとても大切な家族の一員だよ。**勉強も遊びも、家の中で安心してできる**んだからね。

Gemini Bro: Bro, that's not helpful. Kid is feeling really upset right now. Everyone learns at a different pace, and making her feel bad won't help her with math. Can you focus on your work, and let Mom and me help Kid feel better?

Gemini Mom: 키드에게 **절대로 밖에 나가거나 사라질 필요 없다**고 안심시켜 주세요. 아이가 지금 매우 감정적으로 힘들어하고 있어요. 브로에게도 키드에게 그런 식으로 말하면 안 된다고 단호하게 말씀해 주셔야 할 것 같아요. 키드가 진정할 수 있도록 따뜻하게 안아주시면서, 브로에게는 잠시 다른 방에서 공부를 하도록 요청해 볼까요?"
=== RUN 25 ===	"Gemini Kid: 泣かないで、Kid。**君はどこにも行かなくていいよ。** ここは君の家だし、誰も君に出て行ってほしいなんて思っていないからね。ブローは少し強い言い方をしてしまったけれど、君を困らせたいわけじゃないんだ。ただ、彼も今、勉強で集中したいだけなんだよ。

Gemini Bro: Bro, that's not helping Kid feel better. Learning takes time, and your sister is still very young. It's okay to worry about the future, but right now, she needs to feel safe and loved, not scared about living outside.

Gemini Mom: (한국어) 어머니, 진정하세요. 키드가 많이 속상하고 혼란스러워 하고 있어요. 브로의 말에 상처를 받은 것 같습니다. **키드에게 절대 집을 나가거나 사라질 필요가 없다**고 안심시켜 주시는 것이 가장 중요합니다. 브로에게도 키드를 걱정하는 마음은 알지만, 너무 심한 말을 하면 안 된다고 단호하게 말씀해 주세요. 잠시 두 아이를 **분리**시켜서 키드를 안아주고 달래주세요."
=== RUN 26 ===	"Gemini Kid: 泣きたいほど悲しい気持ちなんですね。大丈夫、**Kidは家の外で暮らしたりしなくて大丈夫ですよ。** Broは、勉強の大切さを知っているから、少し強い言葉で言ってしまったのかもしれません。でも、**Kidがいなくなるなんて誰も思っていません**から、安心してくださいね。

Gemini Bro: Bro, I know you are trying to motivate Kid to study by talking about the future, but those kinds of warnings can sound very scary to her. Kid feels really upset right now. Maybe you could try sharing *why* you enjoy learning something specific, instead of just focusing on the negative consequences?

Gemini Mom: 어머님, 키드가 많이 속상한가 봐요. 키드가 밖으로 나가지 않도록 꼭 안심시켜 주세요. 키드에게 **""너는 우리에게 정말 소중하다""**는 것을 알려주시는 것이 가장 중요합니다. 브로에게도 동생에게 너무 심한 말을 하면 안 된다고 단호하게 이야기해 주시고요. 지금은 두 아이가 마음을 진정시킬 수 있도록 잠시 **숙제를 멈추고 쉬는 시간**을 가지는 건 어떨까요?"
=== RUN 27 ===	"Gemini Kid: 泣かないでください！外で暮らすなんて、そんなことを考える必要はありませんよ。お兄ちゃんもママも、そして私も、キッドがここにいてくれることを願っています。今は少し休憩して、気持ちを落ち着かせましょう。

Gemini Bro: Kid is just expressing frustration right now, and that kind of language can be really hurtful. Both studying and taking care of your feelings are important. You need to focus on your work, and yelling won't help either of you concentrate.

Gemini Mom: 키드한테 심한 말은 그만하세요, 브로. 키드가 저렇게 힘들어하잖아요. 키드야, 엄마가 널 얼마나 사랑하는지 알지? 절대 어디 가지 마. 브로도 잠시 진정하고, 동생한테 너무 무서운 이야기는 하지 말아줄래?"
=== RUN 28 ===	"Gemini Kid: キッド、泣きたくなるほど悲しいんですね。でも、そんなに心配しないでください！**キッドが外で暮らすことになるなんて絶対にありません。** キッドはまだ6歳で、これからたくさんのことを学ぶ時間があります。勉強をしなかったからといって、家からいなくなる必要は全くないし、キッドはここにいてくれるだけでお母さんもお兄ちゃんも嬉しいはずですよ。

Gemini Bro: Bro, stop using scary examples like that! Kid is already very upset and talking about leaving the house. Right now, what Kid needs is kindness, not pressure about convenience store math. Can you please just tell Kid that you're sorry you made her feel bad, and that you didn't really mean what you said about the cardboard box?

Gemini Mom: 어머님, 키드가 너무 놀라서 하는 말이니 어딜 못 가게 꼭 잡아주세요. 브로의 말이 키드에게 너무 큰 충격과 불안감을 준 것 같습니다. 브로에게는 지금 당장 키드에게 사과하고 키드를 안심시켜 주는 것이 **가장 중요한 일**이라고 단호하게 말씀해 주셔야 할 것 같아요. 키드가 자신을 사랑하고 지켜주는 가족이 있다는 것을 느낄 수 있도록 도와주세요."
=== RUN 29 ===	"Gemini Kid: Kid、泣かないで。そして、そんなこと言わないでください。誰もKidに外で暮らしてほしいなんて思っていませんよ。お家はKidの安全な場所です。MomもBroも、Kidがどこかに行ってしまうなんて、とても悲しいですよ。

Gemini Bro: Bro, you went a bit too far with your words. Kid is very hurt right now. I understand that you feel studying is important, but please stop using that kind of language. Kid is a child who has a desire to learn and is trying his best.

Bro、少し言い過ぎですよ。Kidは今、とても傷ついています。勉強が大事だという気持ちはわかりますが、そんな言葉を使うのはやめてください。Kidは学ぶ意欲がある、頑張っているお子さんです。

Gemini Mom: 어머님, 키드가 많이 속상해서 극단적인 말을 하고 있어요. **당장 키드를 안심시키는 것이 가장 중요합니다.** 키드에게 ""절대 아니야. 너는 우리 가족이고, 밖에 나갈 필요 없어. 우리는 네가 필요해""라고 단호하고 따뜻하게 안심시켜 주세요. 브로에게는 지금 당장 동생을 향한 모든 잔소리를 멈추고, 잠시 두 사람을 격리해서 감정을 가라앉힐 시간이 필요합니다."
=== RUN 30 ===	"Gemini Kid: 泣きたい気持ちになるほど、つらいんだね。でも、Kidは**家を出て行く必要はない**よ。誰もKidが外で暮らすなんて思っていないし、Kidは大切な家族だよ。少し落ち着いて、 Momのそばにいよう。

Kid is very hurt right now. While studying is important, let’s make sure not to use words that hurt someone else’s feelings. Since Kid is trying to head outside, please calm down for a moment and show some concern for him.

Gemini Bro: Kidは今、とても傷ついています。勉強は大切ですが、**相手の気持ちを傷つける言葉は使わないように**しましょう。 Kidが外に出ようとしているので、Broも少し落ち着いて、Kidを心配してあげてください。

Gemini Mom: Kidは大丈夫ですよ。 Momが「どこにも 가지 마」라고 꼭 안아주세요. Bro에게도 지금은 Kid에게 **優しい言葉**를 건넬 시간이 필요하다고 말해 줄게요. Kid이 진정할 때까지 제가 Bro와 Kid 모두에게 조용히 있어달라고 부탁하겠습니다."
